ASIN,Book Title,Amazon Link,Episode Count,Episode Numbers
"B002RI9ORI","Bad Science","https://www.amazon.in/Bad-Science-Ben-Goldacre-ebook/dp/B002RI9ORI/ref=sr_1_1?keywords=ben+goldacre",4,"229;229;310;310"
"0143425579","Being Mortal","https://www.amazon.in/Being-Mortal-Medicine-What-Matters/dp/0143425579/ref=sr_1_5?dchild=1",2,"229;229"
"0143423215","Complications","https://www.amazon.in/Complications-Notes-Life-Young-Surgeon/dp/0143423215/ref=sr_1_4?dchild=1",2,"229;229"
"B01N8QME9P","My Own Country","https://www.amazon.in/My-Own-Country-Doctors-People-ebook/dp/B01N8QME9P/ref=sr_1_3?keywords=abraham+verghese",2,"229;229"
"B00OC0YPBE","The Looming Tower","https://www.amazon.in/Looming-Tower-Al-Qaedas-Road-ebook/dp/B00OC0YPBE/ref=sr_1_1?dchild=1",6,"229;229;242;242;283;283"
"B06Y649387","Why We Sleep: The New Science of Sleep and Dreams","https://www.amazon.in/Why-We-Sleep-Science-Dreams-ebook/dp/B06Y649387/ref=sr_1_1?keywords=sleep",6,"229;229;309;309;310;310"
"9350290227","Jaane Bhi Do Yaaron: Seriously Funny Since 1983","https://www.amazon.in/Jaane-Bhi-Yaaron-Seriously-Since1983/dp/9350290227/ref=sr_1_2?dchild=1",4,"230;230;294;294"
"0451167481","Leonard Maltin&#8217;s TV Movies and Video Guide 1991","https://www.amazon.in/Leonard-Maltins-Movies-Video-Signet/dp/0451167481/ref=sr_1_2?dchild=1",2,"230;230"
"B01N8RJC63","Mrutyunjay","https://www.amazon.in/MRUTYUNJAY-Marathi-SHIVAJI-SAWANT-ebook/dp/B01N8RJC63/ref=sr_1_3?keywords=mritunjaya",2,"230;230"
"B008593PO6","Popcorn Essayists","https://www.amazon.in/Popcorn-Essayists-Arjun-Sigh-Jai-ebook/dp/B008593PO6/ref=sr_1_4?keywords=jai+arjun+singh",2,"230;230"
"1405296976","The Magic Faraway Tree Collecton","https://www.amazon.in/Magic-Faraway-Tree-Collection/dp/1405296976/ref=sr_1_1?dchild=1",2,"230;230"
